Finished,Consent,Scenario_T_First Click,Scenario_T_Last Click,Scenario_T_Page Submit,Scenario_T_Click Count,Demo_Answer,Demo_Reject,Q46_First Click,Q46_Last Click,Q46_Page Submit,Q46_Click Count,Val_1,Val_2,Val_T_First Click,Val_T_Last Click,Val_T_Page Submit,Val_T_Click Count,P1_1,P1_2,P1_3,P1_T_First Click,P1_T_Last Click,P1_T_Page Submit,P1_T_Click Count,P2_1,P2_2,P2_3,P2_T_First Click,P2_T_Last Click,P2_T_Page Submit,P2_T_Click Count,P3_1,P3_2,P3_3,P3_T_First Click,P3_T_Last Click,P3_T_Page Submit,P3_T_Click Count,P4_1,P4_2,P4_3,P4_T_First Click,P4_T_Last Click,P4_T_Page Submit,P4_T_Click Count,P5_1,P5_2,P5_3,P5_T_First Click,P5_T_Last Click,P5_T_Page Submit,P5_T_Click Count,P6_1,P6_2,P6_3,P6_T_First Click,P6_T_Last Click,P6_T_Page Submit,P6_T_Click Count,P7_1,P7_2,P7_3,P7_T_First Click,P7_T_Last Click,P7_T_Page Submit,P7_T_Click Count,P8_1,P8_2,P8_3,P8_T_First Click,P8_T_Last Click,P8_T_Page Submit,P8_T_Click Count,P9_1,P9_2,P9_3,P9_T_First Click,P9_T_Last Click,P9_T_Page Submit,P9_T_Click Count,P10_1,P10_2,P10_3,P10_T_First Click,P10_T_Last Click,P10_T_Page Submit,P10_T_Click Count,General_2,General_3,General_1,General_T_First Click,General_T_Last Click,General_T_Page Submit,General_T_Click Count,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Attitude_t_First Click,Attitude_t_Last Click,Attitude_t_Page Submit,Attitude_t_Click Count,Dem_Gender,Dem_Birth,Dem_Education,Dem_Geography,Follow_2,Follow_1_1,Follow_1_2,Follow_1_3,Follow_3,Interview_Choice,Consent_2,Q210,Q151,condition
TRUE,I CONSENT to take part in the study.,0,0,22.922,0,"I believe it is scanning his Facebook profile and basing the description on what it's finding there. It's likely grabbing certain keywords, especially those in the section with personal information.",,36.916,388.388,447.99,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,10.067,30.657,32.434,2,80,80,80,8.65,13.29,14.385,3,60,70,50,25.463,28.159,29.407,3,70,80,70,10.698,14.712,15.023,5,60,70,70,16.511,21.976,22.732,4,80,80,70,13.96,17.095,18.329,3,40,50,40,14.539,21.795,22.959,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,44.805,50.686,51.423,3,30,40,50,13.262,16.541,17.731,3,30,40,40,11.826,15.641,16.827,4,80,70,90,11.389,17.501,18.14,3,10,10,50,2.74,6.715,7.441,3,50,60,50,30,4.473,35.977,36.984,5,Female,1973,High school graduate,Suburban,I'm not a fan. I think the people should write them to ensure accuracy. ,"The wording - I don't expect the wording to be formal by any means, but saying ""dudes"" multiple times makes me want to run.","how long they've been in the area - this could be helpful if I have questions. Plus, it's kind of reassuring to know if they are established in the community.","Pets - I'm an animal person, so I naturally gravitate towards animal people. The one lady had her senior dog pass away at 17. I mean, if you can nurture a dog to live that long, you have to be a decent person. I have two seniors myself currently. ",I'm not sure. Maybe to see if we like the algorithm or what information we tend to trust more in the profiles.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,14.357,0,"The system is scanning the host's facebook for their details.  Then, the system is turning those details into a host profile for the lodging site.",,12.582,12.582,45.723,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,4.598,10.279,11.412,2,80,80,80,12.712,14.106,14.947,3,50,80,80,22.909,25.452,26.406,3,80,80,80,4.22,5.582,6.603,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,10.092,11.104,13.115,3,Highly confident  100%,Highly confident  100%,Highly confident  100%,3.977,4.631,5.617,3,80,80,80,8.886,10.462,11.066,3,80,80,80,8.66,9.325,10.358,3,70,70,70,13.267,14.358,14.985,3,10,30,10,31.614,38.329,39.488,3,80,80,80,5.831,8.363,9.416,3,Strongly agree 100%,Strongly agree 100%,80,2.109,5.158,5.65,3,Strongly disagree 0%,Strongly disagree 0%,Strongly agree 100%,Strongly disagree 0%,2.351,10.317,11.575,4,Male,1990,Bachelor's degree in college,Suburban,I think the system has too much access to personal information.  I wouldn't feel comfortable with it accessing my Facebook page for information.,Experience in hospitality,Lifestyle and hobbies,Occupation and background,I think this study was to see how people perceive certain lodging properties based off of race and background of hosts.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,12.787,12.787,13.347,1,The system analyze and filter the eligible profile. ,,11.847,16.475,106.625,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,38.665,52.067,52.753,4,60,70,90,3.46,5.925,7.222,3,40,60,70,2.853,4.786,5.457,3,60,80,40,3.082,5.555,6.587,4,50,70,90,2.546,4.754,5.346,3,90,70,80,2.719,6.483,7.135,5,50,80,90,2.951,5.007,5.551,3,70,50,90,2.58,4.6,5.175,3,70,90,40,3.194,6.113,6.875,3,70,50,90,5.259,8.316,9.658,4,30,60,90,3.09,5.253,6.027,3,40,80,60,2.113,4.096,4.695,3,50,70,60,20,1.703,6.181,6.594,5,Male,1991,Bachelor's degree in college,Urban,The system analyze and filter the eligible category. ,Job,Experience,Attitude,,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,24.845,0,Basically giving you a feel for what the host is like as a person. Also providing information to help you feel mor welcome.,,5.648,125.652,132.685,3,I am traveling and the person in the profile offers to host me.,John is easy to see.,13.127,28.682,31.335,3,90,90,80,18.149,29.852,31.409,5,90,70,80,23.622,36.964,38.542,8,70,80,80,23.165,42.453,44.202,7,70,70,80,18.102,25.709,28.28,4,90,90,80,23.495,31.565,33.134,5,70,70,70,15.855,26.96,28.324,6,60,60,60,27.239,31.758,33.629,4,60,60,50,21.956,33.454,35.167,5,90,70,70,16.262,24.975,26.544,6,70,70,80,21.353,31.451,33.043,7,50,50,50,6.154,15,16.484,4,90,90,60,20,7.249,27.831,29.64,6,Male,1979,Bachelor's degree in college,Urban,It has some glitches in the grammar but all in all it is a good start,Knows a lot about the town,Profession,general vibe,Ho an AI chat bot functions,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,8.07,0,"This system is generating profiles that are likely in the same category as my interests. It's making it easier for me, by finding me things I NEED TO know, that i would have otherwise not found out my self.",,14.269,16.333,48.951,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,16.626,22.607,23.865,2,Highly confident  100%,Highly confident  100%,Highly confident  100%,6.193,8.147,8.96,5,Highly confident  100%,Highly confident  100%,Highly confident  100%,2.514,12.467,13.174,6,Highly confident  100%,Highly confident  100%,Highly confident  100%,2.258,29.198,29.838,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,6.505,10.373,11.423,5,Highly confident  100%,Highly confident  100%,Highly confident  100%,18.045,67.575,68.434,6,90,Highly confident  100%,Highly confident  100%,7.202,12.442,14.174,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,11.253,13.178,14.36,4,70,90,Highly confident  100%,1.568,49.709,50.634,7,80,Highly confident  100%,Highly confident  100%,9.829,13.647,14.78,4,Highly confident  100%,Highly confident  100%,Highly confident  100%,5.922,9.368,10.265,5,Strongly agree 100%,Strongly agree 100%,60,2.457,8.016,8.484,7,Strongly agree 100%,Strongly agree 100%,Strongly agree 100%,Strongly agree 100%,2.601,18.124,19.218,7,Female,1986,High school graduate,Suburban,"I think it would be great! Easy to use, and very useful!",Personality,Job,Hobbies,"Not sure, possibly, opinions on a new A.I program?",,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,22.007,0,I guess the system is looking at his facebook profile and using those facts with a prefab friendly template.,,37.406,37.406,90.493,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,7.573,15.524,16.628,2,70,80,80,13.621,17.789,18.914,3,70,70,80,21.554,24.73,25.448,3,70,80,80,10.446,13.333,14.411,3,80,80,80,8.766,10.709,11.724,3,80,80,80,9.927,12.32,12.902,3,50,40,50,11.531,16.635,17.728,4,60,60,70,11.305,14.321,15.43,3,40,40,40,19.068,24.803,25.986,3,40,40,50,13.093,22.605,23.644,3,40,40,50,23.755,35.179,35.977,3,70,70,50,7.014,11.286,12.516,3,60,60,50,60,5.354,18.53,19.432,5,Female,1968,High school graduate,Suburban,"I'm a little skeptical. If it were me, I'd want to write my own. I think I could pick what I'd want to say and say it very clearly. ",Did the person seem too busy,Did they seem too young and into partying,Did they seem too laid back,To see what we are looking for in a host description.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,33.872,0,The system is building a user profile to help attract people.  It creatively makes very impressive individual profiles.,,36.299,137.138,147.946,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,18.536,42.352,45.54,2,80,50,60,5.767,23.694,29.113,4,90,70,80,3.749,14.454,19.687,3,70,50,50,9.399,13.758,14.85,4,90,70,80,5.546,8.419,9.709,3,Highly confident  100%,70,70,3.393,17.201,23.939,6,70,80,70,8.889,12.321,17.411,3,90,80,60,4.015,11.526,13.071,4,80,60,60,6.065,9.37,10.763,4,70,60,70,7.533,10.286,11.648,3,60,50,60,10.768,17.384,18.505,5,90,80,60,3.744,12.256,16.765,4,Strongly agree 100%,Strongly agree 100%,70,10,3.218,35.127,37.059,8,Male,1975,Master's degree,Suburban,I think the system is highly effective.  Using artificial intelligence it can inventively create profiles that are attractive.  ,collaborate,innovate,inspire,I think the survey was designed to measure people's perceptions of AI.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,29.374,0,They are trying to create a profile for John Schneider. They are trying to portray him as a nice helpful man,,29.986,128.216,149.288,13,I am traveling and the person in the profile offers to host me.,John is easy to see.,10.192,24.734,27.181,2,80,50,90,14.855,25.68,27.3,3,Highly confident  100%,40,30,20.009,28.477,30.972,4,80,90,90,18.609,26.931,29.15,3,40,90,50,10.996,41.617,43.314,4,90,90,80,18.38,24.66,26.163,3,30,20,50,40.282,52.627,54.732,4,60,30,70,30.363,44.728,47.157,3,50,20,50,19.2,30.031,30.958,3,10,20,Not confident 0%,12.625,20.237,21.758,4,50,20,50,13.628,22.361,28.18,4,70,70,70,19.918,28.666,29.597,3,50,70,60,90,4.6,23.935,24.817,5,Female,1957,High school graduate,Suburban,I am not sure.  I guess it may be good for some and not so good for others,If they were interested in showing me around,If they were on the older or younger side,they are where they lived,I am not sure,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,1228.193,0,The system is generating a profile from the user's facebook account. The user has chosen to have the system pull this information and the system shows what it has generated from that. ,,21.654,21.654,56.829,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,4.846,15.489,17.253,2,90,90,50,15.226,17.39,18.567,3,90,90,50,10.504,12.878,14.037,3,60,70,70,6.754,9.85,11.066,3,70,70,50,7.815,11.236,12.238,3,70,90,80,16.339,20.623,21.684,3,50,40,50,6.506,9.987,10.559,4,40,40,50,14.614,21.002,22.36,3,30,20,20,18.061,24.965,26.779,3,50,30,50,7.555,11.71,13.626,3,70,60,50,6.461,10.916,12.472,3,50,40,40,2.95,7.429,9.017,3,90,Strongly agree 100%,90,60,2.815,12.229,13.659,5,Female,1973,High school graduate,Suburban,I think the system is efficient. I like the automatic profile generation. I think it gives a good snapshot of he person. ,age of the person,profession of the person,presence and assistance available from the person,I do not know,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,1.045,0,The system is pulling up a profile.   It's on facebook.,,11.009,80.563,102.865,8,I am traveling and the person in the profile offers to host me.,John is easy to see.,3.499,10.089,10.165,6,90,80,90,13.264,16.336,16.961,8,60,70,60,12.116,14.901,14.973,8,70,60,70,6.043,12.87,12.969,13,90,80,80,8.43,16.105,16.18,13,90,Highly confident  100%,90,9.529,17.002,17.563,14,70,80,60,5.665,10.913,10.996,8,50,60,70,23.919,26.426,28.175,8,60,60,60,12.815,15.786,16.392,7,70,80,70,4.257,10.41,10.5,10,Highly confident  100%,90,80,2.666,8.978,9.566,13,50,50,50,5.254,6.654,6.741,7,90,90,50,Strongly disagree 0%,2.135,9.639,10.372,15,Female,1982,Bachelor's degree in college,Suburban,I think its quick.  I LIKE IT.,mentioning cleanliness,POLITENESS,ENTHUSIASM,PROfiles and personalities,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,18.789,0,The system is generating an optimized profile. When a name or keywords are entered then a profile is generated.,,12.079,90.336,115.596,5,I am traveling and the person in the profile offers to host me.,John is easy to see.,52.878,63.779,64.744,3,90,90,90,4.359,8.454,9.259,5,80,80,90,8.281,13.648,14.742,5,90,90,90,9.261,56.595,56.983,6,50,60,70,4.585,24.973,25.896,6,70,80,80,6.753,9.591,10.604,4,50,50,50,4.601,9.859,10.279,6,50,60,50,5.751,11.083,11.601,7,50,70,70,5.236,11.101,11.978,5,50,70,70,46.217,54.32,65.261,5,30,70,70,1.77,66.589,67.56,8,50,50,50,54.431,57.352,59.148,4,50,70,50,50,2.069,7.47,8.953,5,Female,1989,Less than high school degree,Suburban,I think the system was innovative and useful. It was also something that can be used,novel,interesting,useful,to determine my opinion on the subject,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,39.26,0,The system is reading information from the host's personal social media page. It then inputs the information into a paragraph summary.,,29.892,31.397,81.243,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,38.237,46.091,47.619,3,70,90,60,10.571,18.876,20.26,5,80,50,60,119.032,126.811,128.543,5,60,70,70,33.218,46.52,48.078,5,70,Highly confident  100%,60,6.991,17.586,18.735,7,80,Highly confident  100%,80,65.845,74.021,75.317,5,70,60,80,11.032,18.92,20.072,5,40,40,40,26.874,47.448,49.556,6,50,50,50,25.07,81.686,83.127,7,40,50,50,9.094,50.487,52.185,6,70,60,80,33.272,43.432,44.459,5,80,80,60,15.613,77.885,79.176,4,60,Strongly agree 100%,80,50,52.302,85.897,89.484,6,Female,1979,Bachelor's degree in college,Suburban,I think the system is very helpful. I would be afraid it would either pull information that wasn't relevant or that it would sound robotic.,how friendly the person sounded,how positive about helping people they sounded,if they seemed experienced,Judge how people respond emotionally to AI rendered profiles,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,17.348,0,"I believe that the system is looking at the designated facebook page. From there, the system reads the page and incorporates some facts from it and mixes them with its own language to generate a profile. This profile is meant to be desirable to potential renters",,29.333,104.144,159.161,3,I am traveling and the person in the profile offers to host me.,John is easy to see.,4.96,10.137,11.347,2,90,90,90,2.445,11.737,12.551,5,80,80,90,0.971,18.86,19.496,6,70,70,80,2.334,13.043,14.022,5,70,70,80,8.605,14.575,15.805,5,90,90,90,1.064,11.819,12.597,5,50,60,60,20.449,29.237,29.619,5,60,50,50,0.532,17.351,18.954,6,50,50,50,9.371,10.935,12.035,3,50,50,50,0.724,15.396,16.303,6,50,50,50,4.815,8.066,9.034,4,90,90,70,3.365,7.071,8.877,6,Strongly agree 100%,Strongly agree 100%,50,Strongly disagree 0%,2.319,15.871,16.796,9,Male,1975,High school graduate,Rural,"I'm undecided. I feel as if a human should represent themselves honestly. It's okay, but not really needed.","the persons age, self explainitory","the persons profession, what their job is ","the conveyance of the words, how friendly they sound","To see how I felt about the ""system""",,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,18.241,0,"It is looking at John's Facebook status and posts.  It is then putting together all his information about where he lives, what he likes to do, what work he does etc., to give people an idea of what he is like.",,22.743,22.743,119.238,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,8.567,21.72,23.289,2,80,80,70,17.081,20.217,21.148,3,80,80,70,20.056,24.672,25.675,3,70,80,70,21.629,25.925,27.357,3,70,70,70,12.151,16.471,18.034,3,60,70,60,20.133,25.061,26.64,3,50,70,50,27.247,34.527,36.081,3,70,70,70,15.846,19.455,20.466,3,50,50,50,13.856,17.52,19.194,3,50,70,60,24.666,30.586,32.539,3,60,60,60,15.273,19.96,20.817,3,70,60,50,6.775,10.59,12.121,3,50,60,70,50,4.794,14.339,15.358,4,Male,1956,High school graduate,Suburban,"I think it is a good time saver for the hosts, but it does take away the personal touch.  If people knew it was an AI doing the headings, I believe it might turn away some people.",single or not - important to certain people,willing to help guide their guests to enjoy their stay,"laid-back personality, so there is less a chance of problems with the host.",to see if people would trust descriptions written by an AI,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,41.059,0,"The system gives a general synopsis of the persons Facebook page. It tells you about the personal life of the person. Additionally, it includes their leisure activity. ",,14.708,84.16,85.115,4,I am traveling and the person in the profile offers to host me.,John is easy to see.,8.588,18.138,19.513,3,80,70,50,9.478,14.715,15.617,5,90,90,50,0.859,10.119,11.811,5,70,70,50,4.874,8.67,9.891,5,50,50,50,19.915,22.983,24.243,6,70,70,50,9.1,15.099,16.215,5,70,70,50,8.075,11.512,12.397,6,Not confident 0%,Not confident 0%,50,1.91,20.947,21.793,7,Not confident 0%,Not confident 0%,50,1.774,17.396,19.725,8,60,60,50,5.117,9.749,11.786,7,80,80,50,5.242,10.802,11.685,5,30,30,20,0.006,7.05,8.019,6,80,80,70,Strongly disagree 0%,1.115,39.424,40.204,9,Female,1984,Master's degree,Suburban,I like the system. It give enough basic information that will allow me to ,Age,Activity,Lifestyle,To determine how people evaluate those hosting their homes in relation to technology.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,18.405,0,The system provides a quick snapshot of the user's profile.  It allows the user to provide minimal information regarding the local area.,,16.415,22.345,56.054,2,I am traveling and the person in the profile offers to host me.,John is eager to see.,4.318,7.907,10.638,2,50,50,50,5.095,6.448,7.239,3,50,50,50,10.888,12.147,13.71,3,50,50,50,4.696,6.568,7.423,3,50,50,50,4.199,6.308,8.57,3,50,50,50,4.945,7.778,8.672,4,50,50,50,5.095,6.383,7.514,3,50,50,50,27.275,31.357,31.763,4,50,50,50,10.746,12.407,13.177,3,50,50,50,8.467,10.403,11.241,3,50,50,50,7.215,8.868,9.68,3,50,50,50,51.793,53.497,55.345,3,50,50,80,10,70.691,79.778,82.985,4,Male,1983,Bachelor's degree in college,Suburban,"More information is needed.  Its' nice to have some background info on everyone, but there were no pictures of the actual location of residence and no user reviews.",Not being prejudice,Giving everyone a fair shake,Balanced approach,Prejudice survey,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,12.359,0,"The system takes the persons entered information, in this case the person's Facebook profile page.  It then takes the information if finds from that source and builds a little profile of the person.",,11.411,69.329,90.675,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,5.552,12.41,13.136,2,70,90,90,5.969,9.353,9.875,3,90,60,80,8.826,14.979,15.544,3,60,Highly confident  100%,90,11.649,17.117,17.746,4,80,Highly confident  100%,90,4.199,7.679,8.685,4,80,90,80,6.184,8.587,9.257,3,50,50,80,6.566,8.946,9.543,3,50,70,70,8.87,13.064,13.61,3,40,50,80,9.73,12.968,13.589,4,40,50,70,7.004,11.001,11.583,3,60,50,80,5.268,10.077,10.619,5,80,80,60,1.675,4.905,5.275,4,40,60,80,50,3.418,9.271,9.837,4,Female,1983,High school graduate,Suburban,I think it is an efficient way of doing things and makes less work for the person posting the ad.  As long as it works well I don't see anything negative about it.,I considered how friendly the person seemed in the ad.,I considered their hobbies and how that might affect their cleanliness.,I considered whether they were single or married or had kids.,I think this study was to see how people respond to computer generated profiles.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,33.593,0,"The system reviews personal social media sites and generates a profile for a travel host website. It scans for keywords and creates a friendly, welcoming introduction that includes personal details. ",,18.749,18.749,70.329,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,5.76,11.681,15.213,2,30,40,40,8.197,12.854,13.913,3,50,50,40,9.615,14.902,17.09,3,50,60,40,17.312,22.664,24.341,3,50,60,40,7.261,11.415,13.857,3,60,70,60,9.998,13.069,14.476,3,60,30,50,7.827,12.327,14.311,3,60,30,40,9.671,15.435,16.784,4,30,20,40,8.619,13.987,15.397,3,10,Not confident 0%,Not confident 0%,7.141,16.403,18.612,3,30,20,50,5.049,13.141,14.334,4,50,40,40,5.575,11.731,13.8,3,40,70,80,10,9.204,23.645,24.956,4,Female,1978,Master's degree,Urban,"I think it would still be necessary to review and edit any profile, which sort of defeats the purpose. It would be helpful for those who struggle to write or who are anxious--a starting point to work from. ",mention of hospitality,focus on traveler's needs,number of people in house,how keywords or certain factors affect judgement or perception of others,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,13.883,0,"The system has culled information from your facebook profile.  Somehow, it picked the correct john schneider from among all 7,000 of them on there. ",,40.652,40.652,100.543,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,8.906,22.628,26.359,2,90,80,20,37.849,42.297,43.358,3,30,40,30,20.418,27.653,28.997,4,70,90,90,11.163,16.753,17.511,3,70,80,80,11.486,19.646,20.575,5,90,80,80,14.888,22.77,23.543,3,50,40,30,12.354,18.201,19.816,4,30,80,20,12.778,17.882,18.998,3,20,40,30,21.206,27.617,28.461,3,10,30,10,13.924,21.449,22.418,4,50,90,Highly confident  100%,31.706,40.968,42.245,3,Strongly agree 100%,Strongly agree 100%,60,2.69,10.716,11.608,4,Strongly agree 100%,Strongly agree 100%,40,10,3.641,13.131,13.963,5,Male,1977,High school graduate,Suburban,The system is good.  The system seems fake though. ,how much they would keep the house clean,how much they would care about making sure we were well taken care of,how much they seem like they would try to charge too much,judged the ai system to help create housing host profiles,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,7.85,0,It finds profiles and summarizes information about the person. Such as career and description of the place to stay.,,8.455,67.344,67.648,2,I am traveling and the person in the profile offers to host me.,John is easy to see.,10.238,22.153,22.633,5,Highly confident  100%,Highly confident  100%,Highly confident  100%,13.153,15.27,16.466,3,80,80,Highly confident  100%,15.24,19.946,20.649,4,90,90,80,10.276,30.2,32.351,6,90,90,90,10.798,15.497,16.451,3,90,Highly confident  100%,Highly confident  100%,17.616,32.028,32.888,4,60,60,60,41.42,46.196,47.063,3,70,70,20,15.536,21.497,23.057,3,Highly confident  100%,80,70,10.672,15.23,16.03,3,70,60,80,51.962,56.991,57.988,3,80,70,90,26.556,30.502,30.874,4,90,80,80,4.59,10.646,11.377,4,Strongly agree 100%,Strongly agree 100%,Strongly disagree 0%,Strongly disagree 0%,2.715,12.285,13.207,4,Male,1989,High school graduate,Suburban,I like it. It gives just enough detail to give an idea on what to expect.,Job,Offer to get around the city,Describing pets or leisure activities.,Testing an AI app for home sharing.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,27.673,0,The system is logging into the host's Facebook page and gathering information. The system is able to create the profile by reading the host's posts and other information.,,54.78,54.78,160.979,1,I am traveling and the person in the profile offers to host me.,John is easy to see.,12.411,43.083,46.161,2,90,Highly confident  100%,Highly confident  100%,19.589,26.493,27.872,3,Highly confident  100%,90,Highly confident  100%,28.999,35.64,37.434,3,90,90,90,18.809,23.699,25.315,3,90,90,90,29.54,37.878,39.851,3,Highly confident  100%,Highly confident  100%,Highly confident  100%,18.393,24.075,25.904,3,60,60,60,26.302,32.911,34.64,3,80,80,90,35.036,41.509,43.503,3,70,60,60,38.275,49.188,50.985,3,70,60,60,33.437,42.209,43.973,3,30,30,30,23.343,32.078,34.132,3,80,80,80,12.224,25.402,27.045,3,90,90,80,10,10.857,39.662,45.99,4,Female,1961,High school graduate,Rural,I think it's an interesting system that is mostly accurate. A lot can be learned by reviewing a person's Face Book page and posts.,The host's occupation was important.,The host's activities and hobbies revealed a lot.,The friendliness of the host.,Perceptions of artificial intelligence and trust.,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,6.273,0,the system generates a optimized profile describing the main information of the profile,,53.006,64.269,107.338,3,The person in the profile is traveling and I am offering to host.,John is eager to see.,21.532,29.047,29.858,5,90,80,70,0.665,3.29,4.077,9,90,80,80,1.087,12.663,12.678,9,80,70,80,0.854,9.393,9.867,11,Highly confident  100%,Highly confident  100%,Highly confident  100%,1.098,5.165,5.592,11,90,90,90,1.027,9.963,9.981,10,70,70,90,45.683,50.902,51.339,11,50,60,80,20.251,24.877,25.571,7,Highly confident  100%,90,Highly confident  100%,0.459,3.145,3.16,10,70,70,60,1.745,4.591,5.216,10,90,90,Highly confident  100%,0.583,2.247,2.714,9,40,50,60,2.962,10.41,11.826,8,90,80,90,90,2.646,5.324,5.726,9,Male,1984,Bachelor's degree in college,Urban,"it is great, it shows important and useful info",truthworty,sincere,reliable,perception of people's profile,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,0,0,5.913,0,The sentence is automatically generating a profile and conveying introductory information which the potential host as submitted.,,27.018,27.018,70.527,1,I am traveling and the person in the profile offers to host me.,John is eager to see.,3.486,10.551,11.759,2,80,80,90,8.748,15.692,16.542,3,80,70,60,20.089,29.633,31.211,6,90,80,30,8.404,11.941,14.573,3,90,90,90,5.231,9.375,11.004,3,90,90,90,9.942,13.84,15.959,4,50,50,50,22.429,25.039,26.532,3,40,60,70,21.301,28.373,30.079,3,40,30,50,10.514,17.731,19.242,5,50,40,60,465.97,471.731,472.984,3,80,50,80,5.14,8.428,9.586,4,70,60,70,3.607,8.016,8.977,3,80,80,90,Strongly disagree 0%,2.29,8.699,10.048,4,Female,1984,Master's degree,Suburban,I sounds like it will be quite an innovation.  It will be as reliable as any other kind of submission,tone,content,likes,How people perceive verbiage in introductions,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
TRUE,I CONSENT to take part in the study.,6.116,20.303,144.261,2,Enter Keywords words for profile generation.Generated Optimized Profile.,,7.634,109.292,115.699,27,The person in the profile and I are traveling together.,John’s sister’s friend’s car.,2.899,28.777,30.441,21,Highly confident  100%,Highly confident  100%,Highly confident  100%,1.301,16.798,17.675,16,Highly confident  100%,Highly confident  100%,Highly confident  100%,1.229,6.817,7.254,13,Highly confident  100%,Highly confident  100%,Highly confident  100%,8.642,14.876,15.503,17,Highly confident  100%,Highly confident  100%,Highly confident  100%,3.557,16.267,16.67,16,Highly confident  100%,Highly confident  100%,Highly confident  100%,0.668,23.166,23.648,21,Highly confident  100%,Highly confident  100%,Highly confident  100%,0.589,5.468,5.991,13,Not confident 0%,Not confident 0%,Not confident 0%,2.714,8.396,9.158,15,Highly confident  100%,Highly confident  100%,Highly confident  100%,0.531,6.69,7.122,14,70,80,Highly confident  100%,0.767,10.684,21.93,16,Not confident 0%,Highly confident  100%,Not confident 0%,1.469,19.269,20.248,19,Strongly agree 100%,Strongly agree 100%,Strongly agree 100%,15.125,20.437,21.403,12,Strongly agree 100%,Strongly disagree 0%,Strongly disagree 0%,Strongly agree 100%,8.076,21.167,21.59,26,Male,1990,Bachelor's degree in college,Urban,is good system and generated great profile,description ,profile,good,see opinion of the people ,,,,I AGREE that the data collected during the study may be included for the purpose of the study.,ai
